row ID,row m/z,row retention time,Af-T,Af-L,Af-F,Af-B,Ah-L,Ahv-T,Ah-T,Ah-F,Ahv-F,Ahv-T,Ahv-L,Aj-B,Aj-L,Aj-T,Aj-F
74,256.8435,26.0991,9813.503086,19952.24414,948.0969769,8241.573164,17569.95661,15893.69389,4.95,19316.62093,14484.84709,7613.506533,15670.67233,14791.44475,10823.9717,17829.42285,19137.71194
75,665.4274,18.6443,10336.8215,471.2827618,2369.967744,6984.538594,60.72,0,0,178.7656677,0,0,52.48,189.225,54.36,104.1927063,46.575
76,830.4812,20.7488,12866.21997,0,86.445,124.65,0,36.5,0,66.42,0,131.32,42.105,27.7,59.84,0,0
77,459.3485,20.5628,10138.12201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,405.1398,2.5077,14644.29917,776.6106469,502.4000933,13325.44229,44.812,5433.247154,5551.723589,51.7195,278.6175,3866.523395,41.34,6905.905969,35.284,4090.451126,300.6619286
79,679.387,13.1752,6245.167734,96.1395,186.4033197,8859.977855,12.7375,1383.904914,175.409,24.0875,0,4107.688483,35.613,707.7540961,72.135,357.0938062,23.193
80,513.2543,4.9099,6836.663484,1394.727308,439.598283,3386.958943,117.357,215.4339047,2559.699,0,61.435,59.84,103.9711666,107.8879367,51.048,498.5913492,180.887
81,343.1535,7.9898,9492.279594,252.889,209.6985757,9768.255039,32712.80477,31411.65739,227664.0591,1634.346027,6705.99462,52758.15084,8366.408148,10518.60197,11154.1185,137982.799,9080.440902
82,649.4335,16.1138,13754.42598,108421.8315,1884.115034,20315.07548,24.27,501.7838839,0,149.7816637,56.1315,175.3508928,2332.577395,1148.35675,896.969,88.78505539,389.33
83,447.0916,5.2913,100.786,213044.4642,50.07193103,3065.601866,74593.08107,1242.88657,1540.016538,628.58333,424.575163,1954.745856,39951.87831,1535.71147,116940.0918,24000.30293,882.1458676
84,691.4429,18.2115,22180.10333,97098.79082,253.2765442,30516.74111,125.855,137.4299817,54.12,54.945,40.8,119.51,4438.198308,2546.58181,975.8876392,0,248.18
