,SMILES
133,[C@@]123[C@]4(C2)[C@@H](C([C@H](CC4)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)OC(=O)C)(C)C)[C@H](C[C@@H]1[C@]1([C@](CC3)([C@H]([C@H](C1)O)[C@@]1(O[C@@H](CC1)C(O)(C)C)C)C)C)O
134,[C@H]1([C@@H](c2cc(c(cc2)O)OC)OC[C@H]1[C@H](c1cc(c(cc1)O)OC)O)CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O
135,c1(c(c(=O)c2c(o1)cc(cc2O)O)OC(=O)[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)c1cc(c(cc1)O)O
136,[C@@H]1([C@@H]([C@H](O[C@H]([C@@H]1O)O)COC(=O)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)O)O)O
137,c1ccc(cc1)c1nn(c2ccc(cc2)I)[n+](c2ccc(cc2)N(=O)=O)n1
138,c1(c(c(=O)c2c(o1)cc(cc2O)O)O[C@@H]1[C@@H]([C@@H]([C@@H](O[C@H]1CO)O)O)O)c1cc(c(cc1)O)O
139,CC(C)CCCC(C)CCCC(C)CCCC(C)CCOCC(COC1C(C(C(C(CO)O1)O)O)OC1C(C(C(C(COC2C(C(C(C(CO)O2)O)O)O)O1)O)OC1C(C(C(C(CO)O)O1)O)O)O)OCCC(C)CCCC(C)CCCC(C)CCCC(C)C
140,c12c3c(C(=O)OC[C@@H]4[C@@H](OC(=O)c1cc(c(c2O)O)O)[C@@H]([C@H]([C@@H](O4)O)OC(=O)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(Oc2c(cc(c(c2O)O)O)C(=O)O)c(c(c1)O)O)cc(c(c3O)O)O
141,c12c3c(C(=O)O[C@@H]4[C@@H](OC(=O)c1cc(c(c2O)O)O)[C@@H](O[C@@H]([C@H]4OC(=O)c1cc(c(c(c1)O)O)O)CO)O)cc(c(c3O)O)O
142,CC(CC(C(C(C)(C)O)OC(=O)C)O)C12CCC3(C)C4(C)CCC5C(C)(C)C(=O)CCC5(C)C4C(CC13O2)O
