RT,BPI,TIC,Species,Parts
9.783,1579,58559,Alnus_firma,barks
9.796,1758,57789,Alnus_firma,barks
9.82,1929,54205,Alnus_firma,barks
9.833,2401,58555,Alnus_firma,barks
9.847,1577,63409,Alnus_firma,barks
9.866,1936,60440,Alnus_firma,barks
9.88,1884,60848,Alnus_firma,barks
9.903,2293,58308,Alnus_firma,barks
9.917,2298,59159,Alnus_firma,barks
9.94,2173,61618,Alnus_firma,barks
9.96,1771,58408,Alnus_firma,barks
9.983,2236,59915,Alnus_firma,barks
10.007,1802,64102,Alnus_firma,barks
10.03,7861,82164,Alnus_firma,barks
10.069,10597,80522,Alnus_firma,barks
10.103,3808,68231,Alnus_firma,barks
10.142,2352,62684,Alnus_firma,barks
10.166,2323,60609,Alnus_firma,barks
10.179,1951,58291,Alnus_firma,barks
10.193,1928,57801,Alnus_firma,barks
10.206,1728,61502,Alnus_firma,barks
10.235,2062,77057,Alnus_firma,barks
10.259,1655,59953,Alnus_firma,barks
10.282,2328,61823,Alnus_firma,barks
10.306,2229,60139,Alnus_firma,barks
10.335,1653,57245,Alnus_firma,barks
10.349,1933,55943,Alnus_firma,barks
10.362,1946,59316,Alnus_firma,barks
10.386,1891,61145,Alnus_firma,barks
10.409,3024,62052,Alnus_firma,barks
10.449,10332,70287,Alnus_firma,barks
10.482,4831,67044,Alnus_firma,barks
10.522,3046,68732,Alnus_firma,barks
10.545,1934,66329,Alnus_firma,barks
10.579,2136,61246,Alnus_firma,barks
10.602,1993,64541,Alnus_firma,barks
10.631,2326,62946,Alnus_firma,barks
10.655,2131,62328,Alnus_firma,barks
10.688,7434,74246,Alnus_firma,barks
10.728,3831,66023,Alnus_firma,barks
10.751,1956,61184,Alnus_firma,barks
10.775,1791,59405,Alnus_firma,barks
10.804,2293,63065,Alnus_firma,barks
10.818,2117,63288,Alnus_firma,barks
10.841,1997,58938,Alnus_firma,barks
10.855,1666,58730,Alnus_firma,barks
10.868,1756,55063,Alnus_firma,barks
10.897,2278,74288,Alnus_firma,barks
10.921,2169,58670,Alnus_firma,barks
10.934,1716,61782,Alnus_firma,barks
10.948,2467,60956,Alnus_firma,barks
10.971,1892,65713,Alnus_firma,barks
11.001,1816,62698,Alnus_firma,barks
11.024,1895,65643,Alnus_firma,barks
11.038,1994,61164,Alnus_firma,barks
11.061,2081,62640,Alnus_firma,barks
11.09,1968,62609,Alnus_firma,barks
11.114,2572,59767,Alnus_firma,barks
11.138,1765,57407,Alnus_firma,barks
11.161,1891,61375,Alnus_firma,barks
11.19,1685,62395,Alnus_firma,barks
11.204,2001,62929,Alnus_firma,barks
11.227,1654,58039,Alnus_firma,barks
11.251,2230,61802,Alnus_firma,barks
11.28,1839,60225,Alnus_firma,barks
11.304,2122,64186,Alnus_firma,barks
11.327,1788,65899,Alnus_firma,barks
11.351,2064,67155,Alnus_firma,barks
11.38,1941,65545,Alnus_firma,barks
11.404,1726,58080,Alnus_firma,barks
11.417,1761,63786,Alnus_firma,barks
11.441,1940,60931,Alnus_firma,barks
11.47,2173,63688,Alnus_firma,barks
11.494,2078,61482,Alnus_firma,barks
11.517,1815,61387,Alnus_firma,barks
11.541,2023,63733,Alnus_firma,barks
11.57,1746,64996,Alnus_firma,barks
11.593,2036,69054,Alnus_firma,barks
11.617,2059,64341,Alnus_firma,barks
11.656,1930,74981,Alnus_firma,barks
11.68,1821,60587,Alnus_firma,barks
11.703,1572,58915,Alnus_firma,barks
11.727,1894,60754,Alnus_firma,barks
11.756,1825,60845,Alnus_firma,barks
11.78,1880,60758,Alnus_firma,barks
11.803,2066,60821,Alnus_firma,barks
11.827,1867,61909,Alnus_firma,barks
11.846,2121,73317,Alnus_firma,barks
11.87,1592,64566,Alnus_firma,barks
11.883,1987,66788,Alnus_firma,barks
11.907,1910,62448,Alnus_firma,barks
11.93,2038,63934,Alnus_firma,barks
11.96,2412,65367,Alnus_firma,barks
11.983,1811,62627,Alnus_firma,barks
12.007,2058,63965,Alnus_firma,barks
12.036,2037,74939,Alnus_firma,barks
12.06,1814,66668,Alnus_firma,barks
12.084,1999,60652,Alnus_firma,barks
